"","x"
"sa25137.pdf.spanish",0.0185846939070644
"sa25137.pdf.telephoni",0.0159095800259905
"sa25137.pdf.dissemin",0.0122159212632376
"sa25137.pdf.spain",0.0119287076075202
"sa25137.pdf.soft",0.0114409226656118
"sa25137.pdf.subprogramm",0.0109664860293963
"sa25137.pdf.viabil",0.00962751443335246
"sa25137.pdf.loan",0.00824235378540454
"sa25435.pdf.sachsen",0.0268326137360198
"sa25435.pdf.freistaat",0.0201718723691215
"sa25435.pdf.german",0.0165299879135578
"sa25435.pdf.eafrd",0.0137464527985868
"sa25435.pdf.feder",0.0101490966617445
"sa25435.pdf.municip",0.0095894781417428
"sa25435.pdf.gak",0.00894420457867326
"sa25435.pdf.inhabitantskm",0.00657468851345423
"sa25435.pdf.minimi",0.00648024920712512
"sa25435.pdf.germani",0.0053361079021164
"sa25739.pdf.niedersachsen",0.0404892332617615
"sa25739.pdf.german",0.012050979437691
"sa25739.pdf.lho",0.011111494788796
"sa25739.pdf.badenwürttemberg",0.00934366921425265
"sa25739.pdf.breitbandig",0.00858621357555952
"sa25739.pdf.elektronisch",0.00858621357555952
"sa25739.pdf.kommunik",0.00858621357555952
"sa25739.pdf.municip",0.0084034292836434
"sa25739.pdf.breitbandförderung",0.00740766319253064
"sa25739.pdf.gewährung",0.00740766319253064
"sa25740.pdf.german",0.0156889237481869
"sa25740.pdf.länder",0.0120545772682482
"sa25740.pdf.municip",0.0107448911199087
"sa25740.pdf.disproport",0.0104714643965715
"sa25740.pdf.exempt",0.0104091131311986
"sa25740.pdf.newspap",0.0102466979168245
"sa25740.pdf.rare",0.00698097626438099
"sa25740.pdf.vergaberecht",0.00698097626438099
"sa25740.pdf.minimi",0.00697059717807214
"sa25740.pdf.germani",0.00597904260949751
"sa25779.pdf.adig",0.0927194426695518
"sa25779.pdf.alto",0.0878394720027333
"sa25779.pdf.commune",0.0351477091549839
"sa25779.pdf.bolzano",0.0218964583143219
"sa25779.pdf.break",0.0124143609379344
"sa25779.pdf.tariff",0.0121954914532602
"sa25779.pdf.provinc",0.0120942438564438
"sa25779.pdf.italian",0.0120417507797569
"sa25779.pdf.deliber",0.0104302343869673
"sa25779.pdf.loss",0.0104302343869673
"sa26377.pdf.rag",0.0411126732284179
"sa26377.pdf.województwo",0.0392441827872534
"sa26377.pdf.therapeut",0.0338574955998736
"sa26377.pdf.immateri",0.0224252473070019
"sa26377.pdf.spa",0.0222054711054077
"sa26377.pdf.submeasur",0.0219332039943867
"sa26377.pdf.polish",0.0187351528107984
"sa26377.pdf.energi",0.0163619260776688
"sa26377.pdf.asset",0.015465204744509
"sa26377.pdf.healthcar",0.0153532427960707
"sa26413.pdf.northern",0.0368973819492822
"sa26413.pdf.ireland",0.0311824930058347
"sa26413.pdf.repaid",0.00906317853479241
"sa26413.pdf.supplier",0.00897514637870418
"sa26413.pdf.equit",0.00851478044983435
"sa26413.pdf.moni",0.00648336512847047
"sa26413.pdf.adsl",0.00643091285096655
"sa26413.pdf.clawback",0.00601039532978279
"sa26413.pdf.para",0.00523554768972161
"sa26413.pdf.changeov",0.00502441532335327
"sa27517.pdf.axi",0.0800095074192669
"sa27517.pdf.greek",0.0347465044772615
"sa27517.pdf.simplifi",0.0321362766808775
"sa27517.pdf.csf",0.0308131876656275
"sa27517.pdf.tighten",0.0196902762671953
"sa27517.pdf.axe",0.0169875735644926
"sa27517.pdf.payrol",0.0169875735644926
"sa27517.pdf.extens",0.0153493361844607
"sa27517.pdf.authoris",0.014805167028851
"sa27517.pdf.program",0.0142786271842569
"sa28092.pdf.bayern",0.0240671182305259
"sa28092.pdf.amend",0.0192206607014427
"sa28092.pdf.cancel",0.0183783690610007
"sa28092.pdf.german",0.0163082233698259
"sa28092.pdf.recoveri",0.0133649252565044
"sa28092.pdf.chapter",0.0125304158446265
"sa28092.pdf.endors",0.0125304158446265
"sa28092.pdf.freistaat",0.0125304158446265
"sa28092.pdf.frankwalt",0.0108199991758511
"sa28092.pdf.steinmeier",0.0108199991758511
"sa28156.pdf.slovenian",0.0874552458422921
"sa28156.pdf.slovenia",0.0262438506006774
"sa28156.pdf.own",0.0100762717583918
"sa28156.pdf.katz",0.00447327997793554
"sa28156.pdf.ownership",0.00441162224787627
"sa28156.pdf.subsid",0.00393091960993376
"sa28156.pdf.cableway",0.00380240199314314
"sa28156.pdf.utilis",0.00372418312618016
"sa28156.pdf.municip",0.00372145602670743
"sa28156.pdf.economi",0.00365344467640919
"sa28192.pdf.lithuanian",0.0568503644155714
"sa28192.pdf.lithuania",0.0377568477432797
"sa28192.pdf.rain",0.0262386297302637
"sa28192.pdf.dėl",0.0150672415457474
"sa28192.pdf.interneta",0.0131193148651319
"sa28192.pdf.plačiajuosti",0.0131193148651319
"sa28192.pdf.valstybė",0.0125560346214562
"sa28192.pdf.žinio",0.0125560346214562
"sa28192.pdf.lietuvo",0.0116418551076261
"sa28192.pdf.patvirtinimo",0.0100448276971649
"sa28435.pdf.niedersachsen",0.0711697724520065
"sa28435.pdf.cluster",0.0345332398920584
"sa28435.pdf.municip",0.0165398981405391
"sa28435.pdf.german",0.0139895492352645
"sa28435.pdf.feder",0.00853908594818725
"sa28435.pdf.score",0.00721776167624237
"sa28435.pdf.programm",0.00648675647824676
"sa28435.pdf.net",0.00616926181667314
"sa28435.pdf.larger",0.00616824461108534
"sa28435.pdf.counti",0.00606094352510883
"sa28438.pdf.adig",0.0654729397798151
"sa28438.pdf.alto",0.0654729397798151
"sa28438.pdf.mobil",0.0474233229514134
"sa28438.pdf.telephoni",0.0412861887914051
"sa28438.pdf.bolzano",0.026364645854958
"sa28438.pdf.tourist",0.0197859481606728
"sa28438.pdf.italian",0.0186415564955853
"sa28438.pdf.provinc",0.0174746318284772
"sa28438.pdf.provinci",0.0167213812346377
"sa28438.pdf.antenna",0.0131626691460827
"sa28665.pdf.spanish",0.0706624270604962
"sa28665.pdf.asturia",0.0517612946277957
"sa28665.pdf.max",0.0144146424379115
"sa28665.pdf.localitit",0.0129403236569489
"sa28665.pdf.cmt",0.00881611744933372
"sa28665.pdf.administracion",0.00862688243796595
"sa28665.pdf.consejería",0.00862688243796595
"sa28665.pdf.gobierno",0.00862688243796595
"sa28665.pdf.incentivo",0.00862688243796595
"sa28665.pdf.inversión",0.00862688243796595
"sa28845.pdf.gak",0.0403949458976234
"sa28845.pdf.german",0.023248905345896
"sa28845.pdf.duct",0.0214304723845911
"sa28845.pdf.placement",0.0198285202041518
"sa28845.pdf.municip",0.016984004638055
"sa28845.pdf.revoc",0.0131000463085916
"sa28845.pdf.feder",0.0107850897970018
"sa28845.pdf.land",0.00777392549720842
"sa28845.pdf.der",0.0068619878573071
