"","x"
"sa29028.pdf.invest",29
"sa29119.pdf.measur",61
"sa29119.pdf.broadband",57
"sa29119.pdf.oper",51
"sa29119.pdf.author",47
"sa29119.pdf.aid",46
"sa29119.pdf.network",42
"sa29119.pdf.access",39
"sa29119.pdf.servic",36
"sa29119.pdf.provid",35
"sa29119.pdf.competit",32
"sa29606.pdf.servic",51
"sa29606.pdf.aid",50
"sa29606.pdf.network",50
"sa29606.pdf.broadband",48
"sa29606.pdf.measur",43
"sa29606.pdf.provid",38
"sa29606.pdf.author",36
"sa29606.pdf.oper",36
"sa29606.pdf.access",32
"sa29606.pdf.nga",32
"sa29706.pdf.aid",57
"sa29706.pdf.broadband",52
"sa29706.pdf.oper",40
"sa29706.pdf.measur",34
"sa29706.pdf.servic",33
"sa29706.pdf.author",32
"sa29706.pdf.commiss",27
"sa29706.pdf.italian",26
"sa29706.pdf.invest",25
"sa29706.pdf.network",25
"sa29729.pdf.measur",27
"sa29729.pdf.broadband",24
"sa29729.pdf.servic",24
"sa29729.pdf.ireland",17
"sa29729.pdf.aid",16
"sa29729.pdf.provid",16
"sa29729.pdf.commiss",15
"sa29729.pdf.articl",9
"sa29729.pdf.provis",8
"sa29729.pdf.select",8
"sa297291.pdf.measur",27
"sa297291.pdf.broadband",24
"sa297291.pdf.servic",24
"sa297291.pdf.ireland",17
"sa297291.pdf.aid",16
"sa297291.pdf.provid",16
"sa297291.pdf.commiss",15
"sa297291.pdf.articl",9
"sa297291.pdf.provis",8
"sa297291.pdf.select",8
"sa29775.pdf.oper",50
"sa29775.pdf.servic",49
"sa29775.pdf.aid",47
"sa29775.pdf.measur",44
"sa29775.pdf.broadband",40
"sa29775.pdf.author",39
"sa29775.pdf.select",33
"sa29775.pdf.access",32
"sa29775.pdf.infrastructur",31
"sa29775.pdf.network",31
"sa29826.pdf.broadband",62
"sa29826.pdf.oper",44
"sa29826.pdf.measur",42
"sa29826.pdf.aid",38
"sa29826.pdf.network",38
"sa29826.pdf.infrastructur",35
"sa29826.pdf.italian",26
"sa29826.pdf.access",22
"sa29826.pdf.provid",21
"sa29826.pdf.rural",21
"sa29874.pdf.network",88
"sa29874.pdf.servic",72
"sa29874.pdf.broadband",42
"sa29874.pdf.oper",42
"sa29874.pdf.econom",37
"sa29874.pdf.provid",34
"sa29874.pdf.access",33
"sa29874.pdf.public",30
"sa29874.pdf.aid",29
"sa29874.pdf.estonia",28
"sa30296.pdf.broadband",61
"sa30296.pdf.aid",53
"sa30296.pdf.measur",40
"sa30296.pdf.network",39
"sa30296.pdf.oper",36
"sa30296.pdf.access",34
"sa30296.pdf.author",31
"sa30296.pdf.swedish",22
"sa30296.pdf.infrastructur",21
"sa30296.pdf.paragraph",20
"sa30317.pdf.aid",42
"sa30317.pdf.measur",38
"sa30317.pdf.broadband",37
"sa30317.pdf.oper",37
"sa30317.pdf.network",32
"sa30317.pdf.author",26
"sa30317.pdf.servic",26
"sa30317.pdf.access",24
"sa30317.pdf.competit",24
"sa30317.pdf.select",21
"sa303171.pdf.broadband",43
"sa303171.pdf.aid",40
"sa303171.pdf.oper",39
"sa303171.pdf.measur",37
"sa303171.pdf.network",34
"sa303171.pdf.author",28
"sa303171.pdf.servic",28
"sa303171.pdf.competit",26
"sa303171.pdf.access",25
"sa303171.pdf.provid",23
"sa30705.pdf.measur",26
"sa30705.pdf.broadband",24
"sa30705.pdf.aid",21
"sa30705.pdf.commiss",20
"sa30705.pdf.author",13
